name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Pasta sfoglia di quark (con grasso vegetale), cruda",,,7.1,28.8,26.9,388,9.7,11.6,4.4,,,1.2,0.9,1.3,0.017,,,8.999999999999999e-05,0.00011999999999999999,0.00027,0.0003,7.000000000000001e-05,,1.22e-05,1.3e-07,0.0001,1e-06,0.00362,,,0.016,0.12,0.037,,0.0006,0.35,0.0006,0.09,0.0,3.6000000000000003e-06,,
"Pasta sfoglia, fatta in casa (al burro), cruda",,,5.2,29.4,24.7,364,14.6,5.8,1.4,,,0.3,0.8,1.3,0.065,,,8.999999999999999e-05,2e-05,0.00013000000000000002,0.0002,7.000000000000001e-05,,6.7e-06,0.0,0.0,4.0000000000000003e-07,0.00074,,,0.015,0.082,0.011,,0.0005,0.34,0.0006,0.057,1.1e-06,7e-07,,
"Pasta sfoglia, fatta in casa (con grasso vegetale), cruda",,,5.2,29.3,23.2,349,7.1,11.1,4.4,,,0.2,0.9,1.3,0.0,,,8.999999999999999e-05,2e-05,0.0002,0.00023,7.000000000000001e-05,,7.2999999999999996e-06,1e-08,0.0,1e-06,0.0037,,,0.015,0.088,0.0096,,0.0005,0.36,0.0007,0.058,1e-06,1.1e-06,,
Pasticcino alle pere,,,4.9,57.2,10.4,363,5.9,2.5,0.9,,,33.5,0.8,6.9,0.025,,,8e-05,5.9999999999999995e-05,0.0005,0.00023999999999999998,8.999999999999999e-05,,1.58e-05,0.0,0.0007,2.0000000000000002e-07,0.00043,,,0.032,0.32,0.064,,0.0006,0.3,0.0016,0.075,0.0,2.2e-06,,
"Pastinaca, cotta (senza aggiunta di sale)",,,1.2,11.4,0.4,58,0.1,0.0,0.2,,,2.9,0.0,2.1,0.0,,,7.000000000000001e-05,0.0001,0.00069,0.00033,7.000000000000001e-05,,2.27e-05,0.0,0.0083,0.0,0.00093,,,0.013,0.2,0.042,,0.0004,0.0022,0.0003,0.068,5e-07,3.4e-06,,
"Pastinaca, cruda",,,1.3,12.1,0.4,62,0.1,0.0,0.3,,,3.1,0.0,2.1,0.0,,,0.0001,0.00013000000000000002,0.00094,0.0005200000000000001,8.999999999999999e-05,,4.32e-05,0.0,0.0197,0.0,0.00088,,,0.021,0.43,0.042,,0.0005,0.0038,0.0004,0.071,6e-07,3.6000000000000003e-06,,
"Patata, con buccia, cotta al forno (senza aggiunta di grassi o sale)",,,2.5,20.7,0.2,100,0.1,0.0,0.0,,,1.4,0.0,2.6,0.0,,,0.0002,2e-05,0.0009,0.00046,0.00011,,1.8e-05,0.0,0.006,0.0,5e-05,,,0.027,0.6,0.011,,0.0004,0.002,0.0006,0.045,0.0,1e-06,,
"Patata dolce, al vapore (senza aggiunta di sale)",,,1.6,17.1,0.1,81,0.0,0.0,0.0,,,4.2,0.1,3.0,0.0,,,7.000000000000001e-05,5.9999999999999995e-05,0.00051,0.00069,0.00017999999999999998,,6.7e-06,0.0,0.0158,0.0,0.00027,,,0.025,0.37,0.04,,0.0003,0.051,0.0005,0.051,0.0,2.3e-06,,
"Patata dolce, cotta al forno (senza aggiunta di grassi o sale)",,,1.9,21.1,0.1,100,0.0,0.0,0.0,,,5.2,0.2,3.7,0.0,,,8e-05,7.000000000000001e-05,0.00064,0.0008900000000000001,0.00023,,1.06e-05,0.0,0.021,0.0,0.00032,,,0.032,0.52,0.051,,0.0004,0.068,0.0007,0.064,0.0,3e-06,,
"Patata dolce, cruda",,,1.6,17.1,0.1,81,0.0,0.0,0.0,,,4.2,0.1,3.0,0.0,,,8e-05,5.9999999999999995e-05,0.0005600000000000001,0.0008,0.00020999999999999998,,1.1e-05,0.0,0.0193,0.0,0.00026000000000000003,,,0.026,0.42,0.041,,0.0003,0.055,0.0006,0.052,0.0,2.4e-06,,
