name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Elderberry, raw",,,2.5,7.4,1.7,63,0.1,0.1,1.1,,,7.4,0.0,4.0,0,,54,0.07,0.07,1.6,0.16,0.25,,17,0,18,0,1,,,30,300,37,,0.2,1.0,1.6,57,n.d.,3,,
"Emmentaler cheese, at least 45% fidm",,,28.4,0.0,32.6,408,20.3,7.9,1.5,,,0,0.4,0.0,84,,306,0.01,0.3,0.18,0.3,0.12,,9.4,1.67,0,0.5,0.35,,,31,84,1030,,4.6,170.0,0.4,620,n.d.,20,,
"Endive, raw",,,1.8,1.2,0.2,16,0.1,0,0.1,,,1.2,0.1,1.2,0,,65,0.05,0.12,0.41,0.44,0.04,,109,0,12.9,0,0,,,8.1,220,23,,0.2,52.0,0.5,26,0.2,2.9,,
"Energy drink, with sugar",,,0.0,10.9,0.0,44,0,0,0,,,10.8,0.2,0.0,0,,0,0,0.43,7.54,1.55,1.42,,0,1.63,0,0,0,,,1,3,4,,0,63.0,0,3,0.1,0,,
"Escalope (average of beef, veal, pork, poultry), breaded, fried",,,23.5,10.1,10.8,233,1.7,6.8,1.5,,,0.5,0.8,0.6,95,,17,0.45,0.19,6.48,1.1,0.43,,18.7,1.07,0,0.6,2.49,,,24,350,18,,2.4,340.0,1.4,210,15,6.4,,
"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)",,,29.2,0.1,3.1,145,1.1,1.4,0.4,,,0,0.2,0.0,78,,5,0.43,0.21,7.82,0.91,0.41,,7.4,1.05,0,0.4,0.49,,,27,360,10,,3,68.0,1.5,230,n.d.,1.8,,
"Escalope (average of beef, veal, pork, poultry), raw",,,22.2,0.1,2.7,113,0.9,1.2,0.4,,,0,0.1,0.0,57,,4,0.45,0.17,6.97,0.8,0.45,,7.1,0.99,0,0.3,0.42,,,22,340,7.5,,2.3,58.0,1.1,190,n.d.,1.3,,
"Espresso with coffee cream, no sugar added",,,0.5,0.8,2.5,28,1.5,0.6,0.1,,,0.7,0.0,0.1,8,,25,0,0.02,0.13,0.07,0,,0.5,0.08,0.2,0.1,0.06,,,4.1,45,23,,0,14.0,0,17,n.d.,1.9,,
"Eurasian perch, raw",,,18.0,0.0,0.7,79,0.1,0.1,0.3,,,0,0.2,0.0,70,,7,0.07,0.1,2.9,0.19,0.12,,5,1,2,4,0.2,,,26,370,18,,0.6,92.0,0.2,220,29,5,,
Ewe's milk,,,5.5,4.7,7.1,105,4.1,1.7,0.5,,,4.7,0.1,0.0,27,,109,0.08,0.4,0.45,0.36,0.03,,10,0.44,4.2,0.1,0.25,,,18,120,180,,0.5,46.0,0,140,n.d.,10,,
Falafel (deep fried in HOLL rapeseed oil),,,8.3,26.2,7.9,222,0.7,5,1.8,,,1.9,0.7,6.4,0,,21,0.11,0.04,0.37,0.21,0.1,,39.6,0,4.6,0,2.22,,,40,290,42,,0.8,300.0,1.6,130,n.d.,0.9,,
Farmers' bread,,,9.2,44.3,2.0,241,0.7,0.4,0.6,,,2.4,1.8,4.4,4,,11,0.2,0.13,1.09,0.4,0.11,,25,0.03,0.2,0,0.33,,,38,200,46,,1.4,710.0,1.5,170,3.4,1.3,,
"Fennel, raw",,,1.1,2.3,0.3,23,0,0,0,,,0.1,0.0,3.3,0,,23,0.04,0.02,0.7,0.15,0.04,,55,0,5.9,0,0.08,,,12,470,37,,0.3,15.0,0.5,38,n.d.,5,,
"Fennel, steamed (without addition of salt)",,,1.0,2.2,0.3,22,0,0,0,,,0.1,0.0,3.1,0,,21,0.03,0.02,0.56,0.12,0.03,,33,0,4.4,0,0.08,,,11,400,35,,0.3,13.0,0.4,36,n.d.,4.8,,
Fermented dough,,,7.8,38.3,0.9,199,0.1,0.1,0.4,,,0.3,1.2,3.0,0,,0,0.17,0.06,0.71,0.41,0.17,,25.7,0,0,0,0.23,,,32,120,13,,1.1,490.0,1.5,110,3.5,0.9,,
"Feta, cow milk",,,16.0,1.4,20.7,256,12.4,4.9,0.9,,,1.4,3.7,0.0,62,,203,0.04,0.33,0.2,0.46,0.19,,49,0.88,0,0.3,0.5,,,20,150,480,,0,1500.0,0.2,340,n.d.,0,,
"Feta, ewe-/goat milk",,,16.7,1.5,18.8,242,12.1,4.8,0.9,,,0,3.3,0.0,45,,226,0.04,0.55,0.2,0.24,0.1,,30,0.6,0,0.1,0.49,,,20,150,450,,2,1300.0,0.2,360,n.d.,0,,
"Fig, dried",,,3.1,55.9,1.2,267,0.1,0.2,0.7,,,55.9,0.3,10.0,0,,7,0.08,0.08,0.65,0.35,0.12,,12.7,0,0.5,0,0.32,,,67,780,190,,0.5,110.0,1.4,75,5.6,4,,
"Fig, fresh",,,1.2,13.5,0.5,71,0.1,0.1,0.2,,,12.2,0.0,4.1,0,,17,0.04,0.03,0.35,0.2,0.06,,24.5,0,3.4,0,0.08,,,22,230,57,,0.2,5.0,0.3,21,1.6,1.5,,
"Fish (average), filet, steamed (without addition of fat and salt)",,,19.6,0.0,7.5,146,1.5,2.4,1.9,,,0,0.2,0.0,59,,161,0.17,0.11,6.09,1,0.46,,11.6,5.31,0.3,6.5,1.17,,,32,360,29,,0.7,66.0,0.8,240,n.d.,50,,
